"tipo_vehiculo","anio_inscripcion_inicial","mes_inscripcion_inicial","provincia_inscripcion_inicial","letra_provincia_inscripcion_inicial","cantidad_inscripciones_iniciales","provincia_id"
"Maquinarias",2013,9,"Buenos Aires","B",23,"06"
"Maquinarias",2013,9,"Catamarca","K",0,"10"
"Maquinarias",2013,9,"Chaco","H",0,"22"
"Maquinarias",2013,9,"Chubut","U",0,"26"
"Maquinarias",2013,9,"Ciudad Autónoma de Bs.As.","C",0,"02"
"Maquinarias",2013,9,"Córdoba","X",0,"14"
"Maquinarias",2013,9,"Corrientes","W",0,"18"
"Maquinarias",2013,9,"Entre Ríos","E",0,"30"
"Maquinarias",2013,9,"Formosa","P",0,"34"
"Maquinarias",2013,9,"Jujuy","Y",0,"38"
"Maquinarias",2013,9,"La Pampa","L",0,"42"
"Maquinarias",2013,9,"La Rioja","F",0,"46"
"Maquinarias",2013,9,"Mendoza","M",0,"50"
"Maquinarias",2013,9,"Misiones","N",0,"54"
"Maquinarias",2013,9,"Neuquén","Q",8,"58"
"Maquinarias",2013,9,"Río Negro","R",0,"62"
"Maquinarias",2013,9,"Salta","A",0,"66"
"Maquinarias",2013,9,"San Juan","J",0,"70"
"Maquinarias",2013,9,"San Luis","D",0,"74"
"Maquinarias",2013,9,"Santa Cruz","Z",0,"78"
"Maquinarias",2013,9,"Santa Fe","S",0,"82"
"Maquinarias",2013,9,"Santiago del Estero","G",0,"86"
"Maquinarias",2013,9,"Tierra del Fuego","V",0,"94"
"Maquinarias",2013,9,"Tucumán","T",0,"90"
"Maquinarias",2013,10,"Buenos Aires","B",120,"06"
"Maquinarias",2013,10,"Catamarca","K",1,"10"
"Maquinarias",2013,10,"Chaco","H",0,"22"
"Maquinarias",2013,10,"Chubut","U",0,"26"
"Maquinarias",2013,10,"Ciudad Autónoma de Bs.As.","C",315,"02"
"Maquinarias",2013,10,"Córdoba","X",92,"14"
"Maquinarias",2013,10,"Corrientes","W",14,"18"
"Maquinarias",2013,10,"Entre Ríos","E",11,"30"
"Maquinarias",2013,10,"Formosa","P",5,"34"
"Maquinarias",2013,10,"Jujuy","Y",1,"38"
"Maquinarias",2013,10,"La Pampa","L",2,"42"
"Maquinarias",2013,10,"La Rioja","F",2,"46"
"Maquinarias",2013,10,"Mendoza","M",11,"50"
"Maquinarias",2013,10,"Misiones","N",3,"54"
"Maquinarias",2013,10,"Neuquén","Q",6,"58"
"Maquinarias",2013,10,"Río Negro","R",6,"62"
"Maquinarias",2013,10,"Salta","A",9,"66"
"Maquinarias",2013,10,"San Juan","J",13,"70"
"Maquinarias",2013,10,"San Luis","D",8,"74"
"Maquinarias",2013,10,"Santa Cruz","Z",2,"78"
"Maquinarias",2013,10,"Santa Fe","S",95,"82"
"Maquinarias",2013,10,"Santiago del Estero","G",0,"86"
"Maquinarias",2013,10,"Tierra del Fuego","V",0,"94"
"Maquinarias",2013,10,"Tucumán","T",30,"90"
"Maquinarias",2013,11,"Buenos Aires","B",250,"06"
"Maquinarias",2013,11,"Catamarca","K",0,"10"
"Maquinarias",2013,11,"Chaco","H",10,"22"
"Maquinarias",2013,11,"Chubut","U",8,"26"
"Maquinarias",2013,11,"Ciudad Autónoma de Bs.As.","C",329,"02"
"Maquinarias",2013,11,"Córdoba","X",195,"14"
"Maquinarias",2013,11,"Corrientes","W",13,"18"
"Maquinarias",2013,11,"Entre Ríos","E",35,"30"
"Maquinarias",2013,11,"Formosa","P",8,"34"
"Maquinarias",2013,11,"Jujuy","Y",7,"38"
"Maquinarias",2013,11,"La Pampa","L",13,"42"
"Maquinarias",2013,11,"La Rioja","F",0,"46"
"Maquinarias",2013,11,"Mendoza","M",47,"50"
"Maquinarias",2013,11,"Misiones","N",4,"54"
"Maquinarias",2013,11,"Neuquén","Q",12,"58"
"Maquinarias",2013,11,"Río Negro","R",2,"62"
"Maquinarias",2013,11,"Salta","A",23,"66"
"Maquinarias",2013,11,"San Juan","J",7,"70"
"Maquinarias",2013,11,"San Luis","D",2,"74"
"Maquinarias",2013,11,"Santa Cruz","Z",2,"78"
"Maquinarias",2013,11,"Santa Fe","S",168,"82"
"Maquinarias",2013,11,"Santiago del Estero","G",5,"86"
"Maquinarias",2013,11,"Tierra del Fuego","V",1,"94"
"Maquinarias",2013,11,"Tucumán","T",9,"90"
"Maquinarias",2013,12,"Buenos Aires","B",219,"06"
"Maquinarias",2013,12,"Catamarca","K",0,"10"
"Maquinarias",2013,12,"Chaco","H",18,"22"
"Maquinarias",2013,12,"Chubut","U",10,"26"
"Maquinarias",2013,12,"Ciudad Autónoma de Bs.As.","C",249,"02"
"Maquinarias",2013,12,"Córdoba","X",194,"14"
"Maquinarias",2013,12,"Corrientes","W",11,"18"
"Maquinarias",2013,12,"Entre Ríos","E",57,"30"
"Maquinarias",2013,12,"Formosa","P",4,"34"
"Maquinarias",2013,12,"Jujuy","Y",6,"38"
"Maquinarias",2013,12,"La Pampa","L",14,"42"
"Maquinarias",2013,12,"La Rioja","F",1,"46"
"Maquinarias",2013,12,"Mendoza","M",35,"50"
"Maquinarias",2013,12,"Misiones","N",3,"54"
"Maquinarias",2013,12,"Neuquén","Q",5,"58"
"Maquinarias",2013,12,"Río Negro","R",5,"62"
"Maquinarias",2013,12,"Salta","A",29,"66"
"Maquinarias",2013,12,"San Juan","J",10,"70"
"Maquinarias",2013,12,"San Luis","D",4,"74"
"Maquinarias",2013,12,"Santa Cruz","Z",1,"78"
"Maquinarias",2013,12,"Santa Fe","S",156,"82"
"Maquinarias",2013,12,"Santiago del Estero","G",11,"86"
"Maquinarias",2013,12,"Tierra del Fuego","V",1,"94"
"Maquinarias",2013,12,"Tucumán","T",9,"90"
"Maquinarias",2014,1,"Buenos Aires","B",207,"06"
"Maquinarias",2014,1,"Catamarca","K",2,"10"
"Maquinarias",2014,1,"Chaco","H",22,"22"
"Maquinarias",2014,1,"Chubut","U",7,"26"
"Maquinarias",2014,1,"Ciudad Autónoma de Bs.As.","C",298,"02"
"Maquinarias",2014,1,"Córdoba","X",136,"14"
"Maquinarias",2014,1,"Corrientes","W",14,"18"
"Maquinarias",2014,1,"Entre Ríos","E",42,"30"
"Maquinarias",2014,1,"Formosa","P",3,"34"
"Maquinarias",2014,1,"Jujuy","Y",4,"38"
