"tipo_vehiculo","anio_transferencia","mes_transferencia","provincia_transferencia","letra_provincia_transferencia","cantidad_transferencias","provincia_id"
"Maquinarias",2013,9,"Buenos Aires","B",3,"06"
"Maquinarias",2013,9,"Catamarca","K",0,"10"
"Maquinarias",2013,9,"Chaco","H",0,"22"
"Maquinarias",2013,9,"Chubut","U",0,"26"
"Maquinarias",2013,9,"Ciudad Autónoma de Bs.As.","C",0,"02"
"Maquinarias",2013,9,"Córdoba","X",0,"14"
"Maquinarias",2013,9,"Corrientes","W",0,"18"
"Maquinarias",2013,9,"Entre Ríos","E",0,"30"
"Maquinarias",2013,9,"Formosa","P",0,"34"
"Maquinarias",2013,9,"Jujuy","Y",0,"38"
"Maquinarias",2013,9,"La Pampa","L",0,"42"
"Maquinarias",2013,9,"La Rioja","F",0,"46"
"Maquinarias",2013,9,"Mendoza","M",0,"50"
"Maquinarias",2013,9,"Misiones","N",0,"54"
"Maquinarias",2013,9,"Neuquén","Q",0,"58"
"Maquinarias",2013,9,"Río Negro","R",0,"62"
"Maquinarias",2013,9,"Salta","A",0,"66"
"Maquinarias",2013,9,"San Juan","J",0,"70"
"Maquinarias",2013,9,"San Luis","D",0,"74"
"Maquinarias",2013,9,"Santa Cruz","Z",0,"78"
"Maquinarias",2013,9,"Santa Fe","S",0,"82"
"Maquinarias",2013,9,"Santiago del Estero","G",0,"86"
"Maquinarias",2013,9,"Tierra del Fuego","V",0,"94"
"Maquinarias",2013,9,"Tucumán","T",0,"90"
"Maquinarias",2013,10,"Buenos Aires","B",27,"06"
"Maquinarias",2013,10,"Catamarca","K",1,"10"
"Maquinarias",2013,10,"Chaco","H",0,"22"
"Maquinarias",2013,10,"Chubut","U",0,"26"
"Maquinarias",2013,10,"Ciudad Autónoma de Bs.As.","C",198,"02"
"Maquinarias",2013,10,"Córdoba","X",42,"14"
"Maquinarias",2013,10,"Corrientes","W",1,"18"
"Maquinarias",2013,10,"Entre Ríos","E",6,"30"
"Maquinarias",2013,10,"Formosa","P",0,"34"
"Maquinarias",2013,10,"Jujuy","Y",3,"38"
"Maquinarias",2013,10,"La Pampa","L",6,"42"
"Maquinarias",2013,10,"La Rioja","F",0,"46"
"Maquinarias",2013,10,"Mendoza","M",5,"50"
"Maquinarias",2013,10,"Misiones","N",0,"54"
"Maquinarias",2013,10,"Neuquén","Q",1,"58"
"Maquinarias",2013,10,"Río Negro","R",1,"62"
"Maquinarias",2013,10,"Salta","A",2,"66"
"Maquinarias",2013,10,"San Juan","J",1,"70"
"Maquinarias",2013,10,"San Luis","D",1,"74"
"Maquinarias",2013,10,"Santa Cruz","Z",1,"78"
"Maquinarias",2013,10,"Santa Fe","S",48,"82"
"Maquinarias",2013,10,"Santiago del Estero","G",0,"86"
"Maquinarias",2013,10,"Tierra del Fuego","V",0,"94"
"Maquinarias",2013,10,"Tucumán","T",11,"90"
"Maquinarias",2013,11,"Buenos Aires","B",75,"06"
"Maquinarias",2013,11,"Catamarca","K",2,"10"
"Maquinarias",2013,11,"Chaco","H",2,"22"
"Maquinarias",2013,11,"Chubut","U",2,"26"
"Maquinarias",2013,11,"Ciudad Autónoma de Bs.As.","C",131,"02"
"Maquinarias",2013,11,"Córdoba","X",97,"14"
"Maquinarias",2013,11,"Corrientes","W",6,"18"
"Maquinarias",2013,11,"Entre Ríos","E",21,"30"
"Maquinarias",2013,11,"Formosa","P",1,"34"
"Maquinarias",2013,11,"Jujuy","Y",1,"38"
"Maquinarias",2013,11,"La Pampa","L",5,"42"
"Maquinarias",2013,11,"La Rioja","F",1,"46"
"Maquinarias",2013,11,"Mendoza","M",7,"50"
"Maquinarias",2013,11,"Misiones","N",2,"54"
"Maquinarias",2013,11,"Neuquén","Q",5,"58"
"Maquinarias",2013,11,"Río Negro","R",1,"62"
"Maquinarias",2013,11,"Salta","A",2,"66"
